id,name,rollNo,email,phone,gender,age,department,year,section,cgpa,address,city,state,country
22,Rudolph Lynch,ROLL1022,Simone8@hotmail.com,1-803-396-7408 x6635,Female,18,ECE,3,D,6.99,715 Ciara Rapids,Wyoming,South Dakota,India
23,Douglas Bailey,ROLL1023,Porter.Simonis@gmail.com,(976) 797-5580 x399,Female,20,ECE,1,D,5.12,5195 Durgan Light,Bertfort,Nebraska,India
24,Sophie Hansen,ROLL1024,Louie.Hansen54@yahoo.com,(877) 706-3889,Female,18,MECH,1,D,9.19,3606 Reilly Circles,Fort Alvenaport,Nevada,India
25,Ramiro Gutkowski,ROLL1025,Jermain66@hotmail.com,981-525-9583 x58702,Male,18,EEE,4,B,7.50,7686 Hintz Neck,Lake Maximillianchester,Utah,India
26,Beulah Rau,ROLL1026,Lafayette.Tromp@gmail.com,1-651-705-2213,Male,22,CSE,3,B,6.92,331 Brisa Centers,Waelchihaven,Indiana,India
27,Rex Sporer-Tremblay,ROLL1027,Audrey.Hackett@hotmail.com,774-284-8827 x9472,Female,20,IT,2,D,6.43,567 Cora Wells,East Eliasshire,Alabama,India
28,Erika Labadie-Schneider,ROLL1028,Trudie5@gmail.com,1-281-508-8950,Male,20,MECH,4,D,9.17,1289 Pacocha Course,Fort Alanna,Alaska,India
29,Carrie Padberg,ROLL1029,Lester.Mann63@gmail.com,732.219.2438 x3139,Female,23,CSE,2,A,6.72,24486 S Division Street,Arianeside,Vermont,India
30,Lamar Lang,ROLL1030,Lorenza39@yahoo.com,1-914-509-7316 x42198,Male,21,MECH,4,C,9.54,19683 Kohler Lake,Lake Vanessastad,Kansas,India
31,Abel Ullrich,ROLL1031,Myah.Hartmann@yahoo.com,1-290-626-8438 x6180,Male,25,MECH,2,D,6.63,360 Pfannerstill Summit,Blacksburg,New Hampshire,India
32,Roger Marvin DVM,ROLL1032,Gabrielle_Heathcote44@yahoo.com,463-343-0875,Other,18,CIVIL,4,D,7.53,5517 Derwent Close,Greenholtmouth,Connecticut,India
33,Hubert Upton,ROLL1033,Imogene.Bauch22@gmail.com,1-633-259-0224 x638,Female,18,ECE,4,B,5.39,500 Fairfield Road,Missoula,North Dakota,India
34,Elsie Cummerata-Keeling,ROLL1034,Florine.Jacobi@hotmail.com,320-867-1799,Female,20,ECE,3,B,5.80,399 Purdy Inlet,Youngstown,North Dakota,India
35,Eileen Prosacco,ROLL1035,Garry.Kunde@gmail.com,(666) 895-3121,Female,18,CSE,2,A,5.42,9834 Frontage Road,New Ethanfort,Kansas,India
36,Natalie Doyle,ROLL1036,Emil_Rosenbaum@yahoo.com,551-968-7130,Other,21,CSE,2,B,9.68,28564 Glebe Close,Oshkosh,Arizona,India
37,Alicia Jast,ROLL1037,Verona.OHara@hotmail.com,1-876-774-2331 x44531,Other,19,ECE,2,D,7.82,5912 E Washington Street,Elizaton,Florida,India
38,Roy Champlin PhD,ROLL1038,Celia_Pouros@yahoo.com,(991) 275-5554 x8912,Other,22,CIVIL,2,C,7.57,9726 Kenyatta Trace,National City,Indiana,India
39,Meghan Johnston,ROLL1039,Gianni.Quigley@hotmail.com,(520) 698-8459 x834,Other,18,IT,1,A,9.10,860 Miller Flats,Fort Grace,Alabama,India
40,Colleen Batz,ROLL1040,Nels.Russel@yahoo.com,302.992.1042 x45507,Female,24,CIVIL,2,B,8.13,14321 Kavon Bridge,Bernhardfort,Mississippi,India
41,Andres Stehr,ROLL1041,Walker.Jenkins94@yahoo.com,1-896-204-6696 x245,Male,18,CSE,1,A,9.95,9052 Lansdowne Road,Arielville,Connecticut,India
42,Laurence Lehner,ROLL1042,Grayson.Lindgren@hotmail.com,450-365-9856 x1531,Other,23,MECH,4,B,9.67,6327 S East Street,Hamillview,Maine,India
43,Ralph White,ROLL1043,Charlotte_OKon50@yahoo.com,(563) 519-7012 x49942,Other,22,CSE,2,A,6.31,712 Anderson Haven,West Coryfort,Georgia,India
44,Andres Torp,ROLL1044,Dalton_McKenzie@yahoo.com,511.563.7763 x095,Male,24,ECE,3,C,8.12,6371 Baumbach Points,Viviannechester,Arizona,India
45,Roderick Harris,ROLL1045,Dana_Ebert-Konopelski@gmail.com,758-355-7121 x18003,Other,23,IT,1,D,9.02,513 Gerlach Curve,West Nadia,New Hampshire,India
46,Kerry MacGyver,ROLL1046,Boyd_Hayes32@gmail.com,510-441-9237 x0152,Female,19,ECE,4,D,8.85,377 Ollie Dale,Fort Theodore,New Mexico,India
47,Dwayne Medhurst,ROLL1047,Leann38@hotmail.com,487-202-8059 x2494,Female,21,CSE,3,A,5.17,86662 Hoppe Circles,Port Hannamouth,New Hampshire,India
48,Luther Connelly,ROLL1048,Yasmine.Purdy@yahoo.com,592-742-7267 x047,Male,24,CSE,1,B,5.62,58656 Jude Manors,Lake Coltonfort,Illinois,India
49,Nathaniel Barton,ROLL1049,Marcos_Crona@gmail.com,281.417.1448,Male,25,CSE,1,C,5.46,9768 Collins Forks,Port Myamouth,New Mexico,India
50,Dr. Beth Rowe,ROLL1050,Jameson_Kuvalis98@yahoo.com,644-658-7078,Male,23,CSE,2,D,5.43,653 Stamm Burgs,Lake Sheridan,Kansas,India
51,Virginia Stark,ROLL1051,Maggie_Renner@gmail.com,1-522-972-1814 x14906,Female,19,MECH,2,A,5.48,546 Ottilie Corners,Izabellaburgh,New Mexico,India
52,Antonia Gusikowski I,ROLL1052,Verna8@yahoo.com,1-339-457-4364 x2800,Other,25,MECH,3,B,5.10,6612 High Road,Sawaynbury,Wyoming,India
53,Thomas Mosciski,ROLL1053,Elaina76@gmail.com,789-861-1156 x3698,Other,21,ECE,3,A,9.46,5218 Kristofer Dale,Somerville,Mississippi,India
54,Claire Smith,ROLL1054,Brody_Rippin33@gmail.com,(468) 952-7998 x9246,Other,21,CIVIL,3,A,7.20,802 Bedford Road,Roswell,Utah,India
55,Margaret Anderson,ROLL1055,Retha93@hotmail.com,(837) 202-1304 x65938,Female,20,IT,3,A,9.08,34059 Roel Wall,Hoover,Connecticut,India
56,Beulah Cummings,ROLL1056,Mariana.Mante@yahoo.com,1-496-859-7508,Female,21,CSE,4,A,9.20,983 Zboncak Hills,Walterfurt,New Mexico,India
57,Samantha Bergstrom V,ROLL1057,Eliezer16@hotmail.com,733-862-4662 x6405,Other,21,EEE,1,B,7.86,816 Bogisich Path,Abeport,New York,India
58,Estelle Legros,ROLL1058,Tyree.Larson2@yahoo.com,(491) 703-3040 x8630,Other,22,IT,2,A,6.86,84266 Manor Road,Wunschmouth,Ohio,India
59,Louis Murazik,ROLL1059,Micaela.Daniel@hotmail.com,(288) 617-2306,Other,19,EEE,1,A,9.49,621 Union Avenue,Manleyworth,Michigan,India
60,Boyd McGlynn,ROLL1060,Natalie56@yahoo.com,1-233-698-6812,Male,22,CSE,1,D,7.44,92709 Stiedemann Valleys,Kaitlynmouth,Arizona,India
61,Ramiro Murray,ROLL1061,Claudine.Bauch11@hotmail.com,(267) 716-8125 x506,Male,23,MECH,1,C,5.78,317 Julian Lane,Aufderharshire,Maine,India
62,Timothy Rowe,ROLL1062,Lorenzo_Rath@hotmail.com,490-795-6683 x89677,Male,20,EEE,2,B,5.05,58568 Marjory Prairie,Jamaalton,South Carolina,India
63,Jeff Spencer,ROLL1063,Wilhelm_Leuschke@hotmail.com,904-290-8396 x8211,Female,19,EEE,1,B,5.04,38378 Shanahan Harbors,East Randimouth,Minnesota,India
64,Darren Flatley,ROLL1064,Jacques_Reinger@gmail.com,1-533-722-3149 x180,Other,20,EEE,3,D,6.76,60599 Gutmann Lane,Knoxville,New Hampshire,India
65,Jared Monahan,ROLL1065,Andreane.Von52@hotmail.com,968-317-1527 x932,Other,22,IT,3,A,6.41,1759 Willow Grove,Norman,Indiana,India
66,Marcus Luettgen,ROLL1066,Summer.Welch66@gmail.com,584.308.0637 x0162,Other,25,ECE,2,A,8.39,889 Meadow Close,Labadieview,Arkansas,India
67,Marion Haag,ROLL1067,Aaliyah.Walsh65@yahoo.com,270-566-7089,Female,19,CSE,2,C,6.01,204 Sandringham Road,Yucaipa,Wisconsin,India
68,Danielle Powlowski,ROLL1068,Jonatan6@yahoo.com,1-422-942-8771,Other,19,EEE,3,C,9.44,371 W Washington Avenue,South Zetta,Louisiana,India
69,Essie Kohler,ROLL1069,Elvis51@hotmail.com,1-842-321-1469 x828,Male,25,CSE,4,B,9.75,602 Penelope Spurs,St. Louis,Pennsylvania,India
70,Hannah Powlowski,ROLL1070,Stanton_Kutch17@gmail.com,1-724-965-0375 x83114,Male,25,ECE,1,C,7.04,714 Columbia Avenue,Lucyland,Rhode Island,India
71,Andrea Boehm,ROLL1071,Brycen.Langworth@gmail.com,1-700-614-6214 x516,Female,18,CIVIL,4,A,8.70,75099 Sipes Roads,East Octavia,North Dakota,India
72,Sergio Nikolaus,ROLL1072,Ashton.Steuber4@hotmail.com,975.598.5780 x3401,Female,20,IT,3,C,5.88,16276 Pfannerstill Radial,Modesto,South Dakota,India
73,Julian Fisher,ROLL1073,Bart69@hotmail.com,472.318.6159,Female,21,CSE,1,C,9.37,657 Angus Greens,Orlando,Florida,India
74,Roberto Turner,ROLL1074,Edwin_Mraz@gmail.com,(916) 944-4944 x4976,Female,23,ECE,3,C,5.90,3796 Finn Mountain,Pine Hills,Virginia,India
75,Irvin Kiehn,ROLL1075,Concepcion.Hermiston@yahoo.com,1-832-869-5562 x16622,Other,19,IT,3,D,9.11,4123 Northfield Road,Fort Alfonsoview,Colorado,India
76,Michele Ernser,ROLL1076,Gordon.Wisoky@gmail.com,1-459-265-7025 x10987,Male,24,EEE,1,B,9.35,6257 Crescent Road,Greenfelderboro,South Dakota,India
77,Mr. Jeffery Bergstrom,ROLL1077,Alejandrin31@yahoo.com,(781) 287-2980,Female,23,CSE,4,D,8.65,1306 Gleason Forks,Grand Junction,Wyoming,India
78,Don Witting,ROLL1078,Milton_Brown41@yahoo.com,549-918-5305 x342,Male,21,EEE,2,D,8.36,78101 Kiehn Meadows,Lake Forest,Florida,India
79,Allison Dach,ROLL1079,Esteban_Senger@gmail.com,921.715.8055 x7701,Female,21,MECH,4,B,5.21,80432 Colt Run,Gutkowskiport,Arkansas,India
80,April Kemmer,ROLL1080,Alek.Hammes-Quitzon@gmail.com,545.936.9239 x0247,Male,19,CIVIL,1,D,8.89,75789 Langosh Field,Starkland,California,India
81,Joann Welch,ROLL1081,Ethan96@gmail.com,550-664-1676 x525,Female,23,EEE,3,C,6.97,1060 Marlon Avenue,Chynamouth,Nevada,India
82,Gloria Moore,ROLL1082,Gage.Fay43@gmail.com,1-512-274-1175 x187,Male,21,ECE,3,D,5.45,89486 Judah Ford,Fridafurt,Arizona,India
83,Miss Christy Fadel,ROLL1083,Sally.Farrell16@yahoo.com,(935) 218-0025 x6208,Other,23,MECH,4,B,8.30,6704 Lebsack Spurs,Doylestead,South Carolina,India
84,Stephanie Marquardt,ROLL1084,Mohammed74@gmail.com,1-926-324-2545 x96994,Male,19,IT,3,B,5.65,7693 Dietrich Heights,South Haskell,Washington,India
85,Desiree Wintheiser,ROLL1085,Godfrey.Koepp@gmail.com,472-731-0357,Other,22,IT,4,A,7.81,3413 Bobby Green,Athens-Clarke County,New Mexico,India
86,Dwayne Flatley,ROLL1086,Tamara83@hotmail.com,399.355.6435 x66772,Other,22,ECE,1,C,5.11,571 E Washington Street,Collierville,New York,India
87,Alan Mann,ROLL1087,Bernard_Ondricka94@hotmail.com,(362) 619-3538 x170,Male,25,IT,1,D,9.89,51065 Valley Road,Albany,New Mexico,India
88,Celia Padberg,ROLL1088,Tavares.Conroy-Christiansen32@yahoo.com,999.455.9643 x3676,Other,24,CIVIL,2,A,7.64,103 Carey Heights,Keelingborough,Georgia,India
89,Kate Romaguera II,ROLL1089,Elliot_Hagenes13@hotmail.com,1-588-827-8075 x566,Other,24,EEE,4,C,7.04,589 The Mount,Justineboro,Wyoming,India
90,Carol Huel,ROLL1090,Micheal15@yahoo.com,(790) 724-0165,Female,18,IT,2,B,8.07,7400 Kessler Forge,Bednarworth,Tennessee,India
91,Geneva Schaden-Runte,ROLL1091,Travon.Barrows45@gmail.com,1-810-776-1618 x4981,Female,25,MECH,4,A,6.77,54968 Audie Shores,Mayaguez,Delaware,India
92,Randolph Becker,ROLL1092,Bridie.Schneider@hotmail.com,665-538-7971 x4034,Male,23,EEE,2,A,9.95,36814 Elinore Terrace,Ornport,Washington,India
93,Perry Krajcik Jr.,ROLL1093,Chester84@gmail.com,755-856-1169 x36858,Male,18,MECH,1,B,9.13,70271 Murazik Lane,Port Chadberg,Mississippi,India
94,Nettie Bernier,ROLL1094,Kayli_Smitham70@hotmail.com,611-364-3390 x13197,Other,18,EEE,2,A,8.65,9693 W Chestnut Street,Lake Vivienneboro,North Carolina,India
95,Ramiro Feil,ROLL1095,Kaley2@yahoo.com,530.317.8874 x797,Other,19,ECE,1,A,7.15,90604 Rohan Orchard,Dooleyshire,Illinois,India
96,Molly Murray,ROLL1096,Kacey.Gutmann@gmail.com,(578) 604-0542 x57970,Female,20,CSE,1,B,5.57,436 Laila Walks,Carrollton,New York,India
97,Jake Will,ROLL1097,Daniela.Rutherford@yahoo.com,702.485.2096,Male,24,CIVIL,1,A,8.45,941 Meagan Fords,Michaelabury,California,India
98,Ronald Cassin,ROLL1098,Emerald_Barton@hotmail.com,1-451-613-9012 x2428,Female,23,CSE,2,B,7.97,89044 Nelson Point,Hansenworth,Utah,India
99,Dr. Antoinette Doyle,ROLL1099,Bryce.Powlowski58@yahoo.com,(467) 250-9667 x7903,Male,22,CSE,4,B,6.64,31945 Moore Bridge,West Kelsibury,Iowa,India
100,Nathaniel Rowe,ROLL1100,Renee69@hotmail.com,(642) 619-2906 x1639,Male,23,ECE,2,B,9.72,8208 Larch Close,New Orleans,South Dakota,India
101,Rhonda Reinger,ROLL1101,Braden.Buckridge-Ullrich14@yahoo.com,277.243.0965 x2206,Other,18,CIVIL,2,B,9.03,4995 Alexzander Road,Morarboro,Wyoming,India
102,Sharon Wilkinson,ROLL1102,Florida_Kassulke31@gmail.com,1-379-285-5433,Female,20,ECE,3,A,7.51,86454 Tyrique Ford,Port Newton,South Carolina,India
103,Dr. David Gerlach,ROLL1103,Kole55@hotmail.com,382-717-7813 x300,Other,18,EEE,1,B,7.58,1594 Schaden Mountain,Harleyville,Indiana,India
104,Dr. Gene Rodriguez,ROLL1104,Eladio93@hotmail.com,256-317-4547 x4920,Other,24,IT,1,A,5.65,8641 Windsor Drive,Cassinhaven,Idaho,India
105,Javier Lang,ROLL1105,Norbert23@yahoo.com,962-593-0302 x62850,Female,20,CIVIL,2,C,9.69,35744 Euclid Avenue,West Jayceland,West Virginia,India
106,Jessie Ferry,ROLL1106,Cristian.Robel40@gmail.com,617.380.0256 x4287,Other,19,MECH,2,C,7.78,219 Block Trafficway,Hodkiewiczboro,Arizona,India
107,Sheila Erdman,ROLL1107,Ena.Keeling44@yahoo.com,(569) 598-1608 x62702,Female,22,ECE,3,C,5.41,8496 Lamont Divide,Dickinsonburgh,Alabama,India
108,Allan Smith,ROLL1108,Kendra.Hamill@yahoo.com,(310) 297-5929 x73815,Female,25,CIVIL,4,C,7.68,980 Lodge Close,Runolfsdottirstead,Oklahoma,India
109,Nettie Crist,ROLL1109,Stefan.Greenholt58@gmail.com,1-681-838-1140 x80398,Female,25,MECH,1,D,7.85,2434 College Avenue,Jaskolskiberg,Arizona,India
110,Mr. Sammy Torp,ROLL1110,Donnell.DAmore32@gmail.com,1-777-340-6332 x579,Female,20,CIVIL,4,A,7.29,8446 Marsh Lane,New Lemuel,Indiana,India
111,Ignacio Howe,ROLL1111,Eleazar36@hotmail.com,236.272.2949 x3266,Male,18,EEE,4,D,7.23,912 Nicolas Creek,Miami,Alabama,India
112,Mr. Grant Hoeger,ROLL1112,Mohamed.Harris@yahoo.com,598-732-5656 x76345,Male,18,MECH,2,D,7.78,19853 Jessyca Mills,Port Delaneyboro,Massachusetts,India
113,Raul Strosin,ROLL1113,Chasity.Monahan@yahoo.com,(330) 669-5005 x3273,Other,18,MECH,4,D,9.41,662 Macejkovic Wall,Kansas City,Montana,India
114,Emily Denesik Jr.,ROLL1114,Nicolette_VonRueden@yahoo.com,(997) 304-8737 x28823,Other,23,MECH,2,A,6.26,8121 Kreiger Track,Methuen Town,Massachusetts,India
115,Wm Stoltenberg,ROLL1115,Karli.Mertz91@gmail.com,858.237.4047 x7956,Other,23,ECE,3,A,7.08,5726 Parisian Ferry,Tyrellstead,North Dakota,India
116,Rosa Mertz,ROLL1116,Fiona_Heaney@yahoo.com,1-727-420-5966 x41951,Male,19,IT,4,B,9.92,90677 James Street,Detroit,Arizona,India
117,Della Konopelski,ROLL1117,Jeremy.Ritchie@gmail.com,865.449.2099 x02649,Other,22,MECH,2,C,5.32,3077 Lee Street,Rockyview,Connecticut,India
118,Veronica Walter,ROLL1118,Aleen85@gmail.com,641.675.5194 x6837,Other,19,EEE,1,D,9.99,95386 S State Street,North Gayletown,Vermont,India
119,Teresa Anderson IV,ROLL1119,Esperanza.Cartwright@hotmail.com,(820) 368-4658 x384,Other,25,MECH,1,C,5.67,8563 Memorial Drive,Ritchieville,New Mexico,India
120,Alexander Witting,ROLL1120,Karine_Corkery@hotmail.com,832.817.5179 x324,Female,24,ECE,2,C,8.84,9761 Schuster Summit,Bartfield,Utah,India
121,Margarita Gottlieb,ROLL1121,William21@hotmail.com,(219) 371-8554 x50891,Other,20,MECH,4,C,8.49,27394 Dooley Ports,Lebsackfield,Montana,India
122,Victoria Rippin,ROLL1122,Vernie96@gmail.com,926.226.8007 x686,Female,18,ECE,1,A,9.66,808 Bradtke Passage,New Genesis,Louisiana,India
123,Brad Tremblay,ROLL1123,Estrella_Gibson89@hotmail.com,1-359-941-9071 x918,Female,24,ECE,2,B,7.55,132 Goldner Meadow,East Mayland,Illinois,India
124,Kenny Ondricka,ROLL1124,Rowland61@yahoo.com,931.323.4670 x07512,Male,21,MECH,4,B,6.36,3958 Kiara Path,South Claudineton,Illinois,India
125,Darlene Reinger,ROLL1125,Mariano45@yahoo.com,(276) 630-5166 x447,Male,21,EEE,1,C,5.12,9743 Market Street,Samsonmouth,New York,India
126,Jerry Willms,ROLL1126,Nathanial35@gmail.com,1-317-972-3979 x017,Female,22,CSE,2,B,6.42,208 Bashirian Burgs,Harberstead,Georgia,India
127,Kirk Metz,ROLL1127,Cydney_Upton@gmail.com,(278) 866-0850 x0405,Male,25,CIVIL,4,B,9.38,515 Bryce Valley,Schneiderburgh,Florida,India
128,Blake Veum,ROLL1128,August27@hotmail.com,(603) 900-1407,Male,22,ECE,1,B,5.36,248 Howard Street,East Cieloborough,North Dakota,India
129,Delia Schaden,ROLL1129,Krista_Barrows28@hotmail.com,(589) 229-2932 x13854,Other,25,MECH,2,B,5.18,98979 Eugenia Expressway,Erdmancester,Idaho,India
130,Dale Kris,ROLL1130,Christa_Nitzsche39@gmail.com,(972) 567-1940 x76907,Other,19,CIVIL,1,C,8.14,18546 Owen Burgs,Kochboro,Florida,India
131,Silvia Lowe,ROLL1131,Adrianna_Keebler@yahoo.com,(462) 795-6916,Female,25,ECE,2,C,7.41,63666 N Franklin Street,National City,Alaska,India
132,Lynn Walsh,ROLL1132,Antonette_Kertzmann93@gmail.com,545-802-4348 x6486,Other,20,ECE,3,C,9.90,6308 Maple Avenue,Lourdesboro,Indiana,India
133,Wanda Sauer,ROLL1133,Rubie_McClure99@yahoo.com,557-629-1081 x6522,Other,23,CSE,2,A,8.87,14263 Archibald Rapid,Lynwood,New York,India
134,Freda Hettinger,ROLL1134,Tom.Pouros31@gmail.com,433.584.7948 x883,Other,18,ECE,4,C,9.88,29825 Commerce Street,Prosaccoside,Delaware,India
135,Rachael Rohan,ROLL1135,Kyra.Keebler73@yahoo.com,611-817-4853 x8614,Male,22,IT,2,C,5.05,972 Deon Union,Montebello,Maryland,India
136,Vivian Metz,ROLL1136,Kelley_Emard45@hotmail.com,(383) 626-7503 x2734,Other,21,CIVIL,2,A,5.63,96026 Wintheiser Cove,Creminfield,Maine,India
137,Delores Larkin PhD,ROLL1137,Baron.Quigley38@gmail.com,1-783-524-4802 x131,Male,20,ECE,4,C,9.65,65283 Noemi Square,Petaluma,Minnesota,India
138,Roman Gibson,ROLL1138,Corine_Fay64@hotmail.com,(333) 780-0559 x741,Female,22,EEE,4,D,6.03,49530 S 3rd Street,East Idella,Iowa,India
139,Mrs. Eunice Ankunding,ROLL1139,Skyla8@hotmail.com,1-543-830-8918 x75168,Female,24,MECH,4,D,6.21,42909 Stark Expressway,Chanellechester,Louisiana,India
140,Andres Schmitt,ROLL1140,Maxime.Bashirian@gmail.com,225.357.8425 x8920,Male,18,CIVIL,1,D,8.68,3969 N Broadway,North Kaitlinbury,Maine,India
141,Derrick Ondricka,ROLL1141,Talia.Pagac55@hotmail.com,1-839-896-4579,Female,18,MECH,1,C,8.87,6714 Verna Brooks,Madalineview,Oklahoma,India
142,Maria Stanton V,ROLL1142,Jarod_Beahan42@gmail.com,(453) 833-9230 x62225,Other,22,CIVIL,3,A,9.81,81741 Fritsch Cove,Olaville,Iowa,India
143,Roxanne Schamberger,ROLL1143,Jacques_King3@gmail.com,(384) 360-1118,Female,23,CIVIL,4,B,8.71,8603 Brandt Mission,East Aronfield,Nevada,India
144,Lucille Smitham,ROLL1144,Deshawn73@hotmail.com,682-242-4651 x67065,Female,21,MECH,3,C,8.33,39677 Stracke Crossroad,Friedrichshire,Delaware,India
145,Gwen Beer,ROLL1145,Jessika28@yahoo.com,1-873-621-0530 x6423,Other,23,CSE,4,C,7.31,8633 Jerrod Square,Carlimouth,Connecticut,India
146,Wendy Gerhold V,ROLL1146,Raheem_Pouros@gmail.com,(959) 840-2226,Female,22,ECE,2,B,8.74,1529 Lebsack Radial,Sammamish,Oregon,India
147,Kristopher Stroman II,ROLL1147,Olin.Quigley@yahoo.com,618-303-3900 x941,Male,19,EEE,2,D,8.92,5881 Doris Mills,East Rebeccaville,Illinois,India
148,Marcella West,ROLL1148,Cara53@hotmail.com,1-219-816-3646 x860,Other,25,EEE,1,C,8.46,7877 Mayfield Road,Rodriguezside,Florida,India
149,Kerry Schuppe,ROLL1149,Simone.Sawayn@gmail.com,934-236-5362 x87321,Female,18,EEE,2,A,7.75,90798 Somerset Road,Gutkowskichester,Michigan,India
150,Lorene Hickle,ROLL1150,Cielo96@hotmail.com,1-537-271-9323,Other,24,EEE,2,C,7.89,25249 Demario Hill,Andersonworth,Maine,India
151,Jessie Gorczany,ROLL1151,Angelica98@yahoo.com,249-250-9905 x5697,Other,25,EEE,1,A,7.02,96395 Ledner Harbor,East Calista,Washington,India
152,Doris Brakus,ROLL1152,Furman.Rogahn@yahoo.com,1-799-878-1775,Female,23,MECH,2,B,8.68,82010 Gordon Coves,Minnetonka,Connecticut,India
153,Hugh Gislason,ROLL1153,Maurine57@gmail.com,691-256-8794 x64726,Male,23,EEE,2,A,8.67,286 Kunde Pines,West Laurettaburgh,South Dakota,India
154,Lisa Ritchie,ROLL1154,Bryce.Christiansen@hotmail.com,486-356-4499,Other,25,CSE,2,B,6.62,963 Leuschke Mews,Erie,New Hampshire,India
155,Devin King,ROLL1155,Stan.Will@yahoo.com,250.257.4249 x9265,Female,20,EEE,3,D,5.74,86993 Mayer Parks,Port Juwantown,Pennsylvania,India
156,Jake Schaefer,ROLL1156,Turner.Ward@gmail.com,836-257-1927 x015,Female,20,EEE,3,D,7.63,918 7th Street,Gracielaborough,Alaska,India
157,Javier Streich,ROLL1157,Jordy26@yahoo.com,473.526.9828,Female,23,CIVIL,2,C,9.34,9017 Gudrun Underpass,East Nikko,Oregon,India
158,Santiago Blick,ROLL1158,Emma68@gmail.com,433.221.0097,Female,21,ECE,1,A,6.03,44768 Clementine Place,Homenickmouth,Pennsylvania,India
159,Fannie Rowe,ROLL1159,Zora.Bauch@gmail.com,925.356.8694 x3642,Other,23,CIVIL,3,D,9.49,1311 Locust Street,East Thereseville,Nevada,India
